Mar,279781165,169314071753,19447956,21875611097,24084727,31136362308,1228016057,1137713405734,20866009,9261464311,0.7964025175554552,0.8536105943292362,0.7810833535851563,0.8308717193585845,0.20564475783264247,0.16236463635536239,0.013271888582201213,0.006763644286053062
Apr,367187167,174117625198,5516344,5049884602,15501731,17597121585,1664812782,1552573596783,25051310,9825045737,0.8085940567563372,0.8925667910759225,0.801134377357594,0.8825636709300945,0.18681053401272124,0.11185126150810369,0.012055088629684768,0.005585067561801873
May,330638472,162616362685,804452,157482891,16864060,11779515260,1827969539,1753067872878,28580213,11836149914,0.8367135918077173,0.9099696662767759,0.8290649950872817,0.9038960524095998,0.15797261487015726,0.09000113243502979,0.012962390042561023,0.006102815155370409
Jun,371455126,177897770469,987351,116028099,13047865,14471958849,1789281273,1738038015977,22279546,5846550896,0.8203400858356252,0.9050489737641403,0.814401277840794,0.8975752180122252,0.17545806344561496,0.09940544688298601,0.010140658713591058,0.0030193351047887638
Jul,382030020,188568456230,1511616,328887903,66073328,81591655660,1555269065,1538206540110,24024342,6621206390,0.7991205596933288,0.89229507692128,0.7665546099715905,0.8473488404991152,0.22160437130948188,0.14900374843418202,0.011841018718927647,0.0036474110667027958
Aug,429711701,201863680723,1590001,106275510,57234314,62983065881,1800726605,1744247812747,32196365,13919086967,0.8003419100681023,0.893289052778971,0.7756874516670871,0.8621574005217527,0.2104435266555254,0.1309625886509982,0.013869021677387497,0.006880010827249103
Sep,550732042,216002045961,528045,40389589,56429377,69781742316,1479163446,1302503593485,32693149,10537103000,0.7244913676112759,0.8582872497952827,0.6978680362803099,0.8146426970657562,0.28670736425832016,0.17876693800157423,0.015424599461369856,0.00659036493266959
Oct,419197256,202001292711,2540825,1646094262,17339949,19259432516,1907093362,1749117130309,40327625,13530376223,0.8063834501047272,0.890621092382187,0.7991175979604437,0.8809213162221483,0.18398416545419427,0.1122642763120461,0.01689823658536206,0.006814407465805545
Nov,466572675,252610959742,1102893,79705708,24722021,21385681059,1784691371,1758030893627,31539973,10682387917,0.7837610306861731,0.871071866750164,0.7730525012007202,0.86060300555892,0.21328572208446805,0.13416768067802678,0.013661776714811709,0.005229313763053259
Dec,514520396,264759396808,3248699,2715348878,5244054,3910928636,1830542397,1792770257186,36756469,10307695696,0.7680112217483875,0.8660943302455487,0.7658173433061206,0.8642090580312216,0.21880538846724576,0.13082209336578177,0.015377268226633585,0.00496884860299667
